date,in_pages_produits,out_pages_produits
2025-02-11 11:07:42,9295,0
2025-02-11 11:08:08,0,0
2025-02-11 11:10:07,0,0
2025-02-11 11:17:40,0,0
2025-02-11 11:17:48,0,0
